country_of_origin,destination_country,destination_city,year,count,gender,age_group
China,Singapore,Singapore,2022,4297,Male,23-26
Brazil,Singapore,Singapore,2023,2606,Female,23-26
Brazil,Australia,Melbourne,2024,3631,Male,18-22
Nigeria,India,Bangalore,2019,1844,Female,23-26
India,France,Marseille,2024,9698,Female,23-26
India,Italy,Rome,2022,6212,Male,18-22
Brazil,Norway,Trondheim,2024,1889,Female,18-22
Nigeria,Canada,Vancouver,2023,6461,Male,23-26
Bangladesh,Ireland,Galway,2021,870,Male,18-22
Vietnam,UAE,Abu Dhabi,2018,901,Female,18-22
Nigeria,Japan,Tokyo,2016,3462,Male,23-26
China,Spain,Madrid,2022,5239,Female,18-22
Kenya,South Africa,Cape Town,2024,1930,Female,27+
Kenya,Germany,Berlin,2021,2743,Female,23-26
Nepal,Spain,Barcelona,2021,2933,Male,23-26
Vietnam,UK,Birmingham,2019,4304,Non-binary,23-26
Nigeria,Singapore,Singapore,2020,2834,Male,18-22
Pakistan,South Korea,Daejeon,2017,3565,Male,18-22
Bangladesh,Singapore,Singapore,2023,1737,Male,23-26
Brazil,Italy,Milan,2021,1928,Male,27+
India,India,Mumbai,2020,3116,Female,18-22
Nigeria,South Africa,Pretoria,2018,1818,Female,18-22
Turkey,Italy,Florence,2024,2523,Male,23-26
Brazil,Norway,Bergen,2017,1611,Male,18-22
India,Finland,Helsinki,2020,1448,Female,18-22
Brazil,Germany,Munich,2023,3895,Male,23-26
India,South Africa,Pretoria,2019,3297,Male,18-22
China,UK,Birmingham,2020,8211,Non-binary,18-22
India,UAE,Abu Dhabi,2015,2259,Male,18-22
Nigeria,Singapore,Singapore,2015,2857,Male,23-26
Turkey,Sweden,Uppsala,2016,1348,Male,23-26
Pakistan,South Africa,Cape Town,2015,1010,Male,18-22
Kenya,Norway,Trondheim,2016,1039,Female,18-22
Turkey,Sweden,Stockholm,2023,1766,Female,23-26
Pakistan,Australia,Melbourne,2019,3547,Male,18-22
Turkey,Sweden,Gothenburg,2016,1211,Female,18-22
Turkey,South Korea,Seoul,2016,2952,Female,18-22
Turkey,Russia,Moscow,2018,1768,Male,18-22
Pakistan,Finland,Helsinki,2024,577,Female,23-26
China,Sweden,Stockholm,2021,3154,Female,18-22
Brazil,Italy,Rome,2024,2482,Male,18-22
India,Singapore,Singapore,2022,5330,Female,23-26
Bangladesh,Japan,Tokyo,2023,2344,Male,23-26
Brazil,Canada,Montreal,2020,4322,Female,23-26
Kenya,Germany,Hamburg,2017,3358,Male,18-22
China,Ireland,Cork,2018,1412,Male,23-26
Brazil,USA,Los Angeles,2019,5515,Female,27+
Bangladesh,South Korea,Daejeon,2024,2759,Female,18-22
Nigeria,India,Delhi,2019,1781,Female,18-22
Brazil,Ireland,Dublin,2020,834,Male,23-26
China,Ireland,Dublin,2018,1759,Male,18-22
Bangladesh,Australia,Brisbane,2020,4650,Male,27+
Turkey,Finland,Tampere,2019,665,Male,18-22
India,UAE,Abu Dhabi,2018,2062,Female,18-22
China,Finland,Tampere,2019,1253,Female,18-22
Vietnam,Japan,Osaka,2023,2492,Female,18-22
Turkey,UK,London,2019,4245,Male,23-26
Bangladesh,Germany,Frankfurt,2017,2211,Male,23-26
Kenya,Ireland,Dublin,2015,496,Male,23-26
Kenya,UAE,Abu Dhabi,2021,939,Female,18-22
Brazil,Finland,Tampere,2015,354,Female,18-22
India,Italy,Milan,2019,5701,Female,18-22
Brazil,France,Marseille,2023,4322,Male,23-26
China,Sweden,Gothenburg,2019,3186,Female,18-22
China,UK,Manchester,2024,10577,Male,23-26
Nigeria,UAE,Sharjah,2018,1359,Male,18-22
India,Germany,Munich,2015,6299,Female,18-22
Pakistan,Australia,Brisbane,2024,3812,Female,23-26
Nigeria,Ireland,Dublin,2020,1165,Male,23-26
Bangladesh,Russia,St. Petersburg,2023,2041,Male,18-22
Nepal,Spain,Barcelona,2017,2437,Female,23-26
Vietnam,UK,London,2021,5094,Male,18-22
Nepal,USA,Chicago,2015,3610,Male,23-26
Nigeria,Ireland,Dublin,2024,1496,Non-binary,23-26
Bangladesh,Ireland,Cork,2017,937,Female,23-26
Turkey,Canada,Montreal,2020,2965,Male,27+
Bangladesh,UAE,Abu Dhabi,2017,1134,Male,23-26
Turkey,Germany,Munich,2023,4957,Male,27+
Bangladesh,Norway,Trondheim,2017,1160,Male,18-22
Pakistan,UAE,Abu Dhabi,2017,888,Female,23-26
Nepal,Australia,Brisbane,2020,4178,Female,18-22
Pakistan,Singapore,Singapore,2017,1389,Male,18-22
Nigeria,Sweden,Gothenburg,2021,2912,Female,18-22
Turkey,Spain,Barcelona,2019,2796,Female,18-22
Turkey,Sweden,Uppsala,2018,1263,Female,18-22
Turkey,Australia,Brisbane,2017,2602,Female,23-26
Pakistan,Singapore,Singapore,2023,2324,Male,23-26
Nigeria,Ireland,Cork,2017,878,Male,18-22
Bangladesh,Russia,Moscow,2019,2254,Male,18-22
Kenya,Australia,Brisbane,2016,3196,Female,27+
Brazil,Australia,Sydney,2015,2595,Male,18-22
China,UK,Birmingham,2018,7391,Female,18-22
Pakistan,Italy,Milan,2018,1989,Male,23-26
Pakistan,UAE,Dubai,2015,728,Male,23-26
Nepal,Australia,Melbourne,2016,4229,Male,18-22
Brazil,Germany,Berlin,2017,3533,Female,18-22
Kenya,South Africa,Johannesburg,2021,1745,Female,18-22
Brazil,Canada,Montreal,2018,3892,Male,23-26
Brazil,Ireland,Galway,2021,883,Male,18-22
Brazil,Ireland,Cork,2019,788,Female,18-22
Bangladesh,Norway,Bergen,2015,1286,Female,27+
India,South Africa,Johannesburg,2024,4194,Male,18-22
India,UAE,Abu Dhabi,2016,2028,Male,23-26
Vietnam,South Korea,Seoul,2020,3092,Male,23-26
Nepal,Germany,Berlin,2017,2145,Male,27+
Bangladesh,Spain,Valencia,2017,2259,Male,23-26
Vietnam,Netherlands,Rotterdam,2022,1778,Female,23-26
Turkey,Netherlands,Eindhoven,2024,2276,Male,18-22
India,South Korea,Seoul,2021,6600,Female,27+
Bangladesh,Finland,Turku,2022,579,Female,27+
Pakistan,Singapore,Singapore,2024,2143,Male,23-26
India,UK,Birmingham,2024,13351,Female,23-26
Brazil,Ireland,Cork,2019,613,Male,23-26
Nepal,Italy,Milan,2020,2536,Female,23-26
Turkey,Italy,Rome,2019,2087,Male,23-26
India,India,Mumbai,2017,3067,Male,27+
Pakistan,Ireland,Cork,2019,739,Female,27+
India,Russia,St. Petersburg,2021,4769,Female,18-22
Bangladesh,Finland,Turku,2023,684,Male,18-22
Nepal,France,Marseille,2024,3594,Male,23-26
Nigeria,UK,Birmingham,2022,7459,Female,18-22
Vietnam,South Africa,Johannesburg,2023,1454,Female,23-26
China,UK,London,2023,9763,Female,18-22
Vietnam,USA,Boston,2017,5700,Female,18-22
China,South Korea,Seoul,2016,4333,Female,18-22
Vietnam,Russia,Kazan,2018,1842,Male,18-22
Nepal,Japan,Tokyo,2024,3312,Female,18-22
Turkey,Netherlands,Rotterdam,2024,1895,Female,18-22
Brazil,Australia,Sydney,2015,2804,Female,18-22
Kenya,Sweden,Stockholm,2016,1461,Female,18-22
Brazil,Finland,Turku,2020,745,Female,18-22
Nigeria,UAE,Dubai,2021,1524,Female,18-22
Nepal,France,Paris,2024,4677,Female,18-22
Nigeria,Australia,Melbourne,2018,5133,Female,23-26
Vietnam,Canada,Montreal,2016,3501,Male,23-26
Turkey,South Korea,Busan,2015,2104,Female,23-26
Brazil,Ireland,Cork,2016,806,Female,23-26
Vietnam,India,Mumbai,2017,1185,Male,18-22
China,UAE,Sharjah,2024,2227,Male,18-22
China,Australia,Brisbane,2018,8150,Male,23-26
Pakistan,Australia,Brisbane,2020,3241,Male,18-22
Nigeria,South Africa,Pretoria,2017,1724,Male,18-22
Kenya,Norway,Oslo,2018,1008,Male,23-26
Brazil,France,Lyon,2024,3559,Male,27+
Bangladesh,Australia,Sydney,2018,3487,Male,27+
India,USA,Los Angeles,2021,16688,Female,18-22
Nigeria,Sweden,Uppsala,2019,2084,Female,18-22
Brazil,Ireland,Cork,2017,772,Female,18-22
Nepal,Germany,Frankfurt,2020,2700,Female,18-22
Turkey,Germany,Frankfurt,2015,3659,Female,23-26
Turkey,Netherlands,Eindhoven,2016,1680,Female,18-22
Brazil,Canada,Vancouver,2021,3398,Male,18-22
Kenya,Germany,Berlin,2023,2989,Female,23-26
India,Russia,Kazan,2017,4149,Male,27+
India,Spain,Barcelona,2023,6881,Male,18-22
Nepal,South Korea,Seoul,2023,3051,Male,23-26
Nepal,UK,Birmingham,2016,4741,Female,18-22
Vietnam,Canada,Montreal,2022,4235,Female,18-22
China,Singapore,Singapore,2022,4516,Female,18-22
Nepal,Norway,Trondheim,2017,1140,Male,18-22
China,UAE,Sharjah,2023,2036,Male,18-22
Turkey,Australia,Sydney,2016,3022,Non-binary,18-22
Vietnam,South Korea,Busan,2016,2510,Male,23-26
Bangladesh,Canada,Toronto,2019,3707,Male,18-22
Pakistan,Australia,Sydney,2022,4521,Male,18-22
Kenya,Netherlands,Eindhoven,2022,2300,Female,18-22
Bangladesh,Australia,Melbourne,2018,3011,Male,27+
India,Ireland,Galway,2019,2079,Male,18-22
Nepal,Italy,Florence,2017,1762,Female,18-22
China,Norway,Bergen,2022,2722,Male,23-26
China,India,Delhi,2015,2394,Female,27+
Turkey,Spain,Madrid,2016,2172,Male,23-26
Nigeria,Italy,Milan,2021,4542,Female,18-22
China,Finland,Tampere,2017,958,Male,18-22
Turkey,USA,Chicago,2020,6729,Female,23-26
Bangladesh,Ireland,Cork,2024,904,Female,23-26
Brazil,UK,Manchester,2018,3810,Female,27+
Kenya,Norway,Bergen,2018,1205,Female,18-22
Nepal,USA,Boston,2017,6075,Male,18-22
Turkey,India,Mumbai,2022,1617,Female,23-26
Kenya,Australia,Sydney,2017,2787,Male,27+
Bangladesh,USA,Boston,2017,6344,Female,23-26
China,UK,London,2024,9890,Female,23-26
India,Netherlands,Amsterdam,2021,4852,Male,23-26
Turkey,India,Delhi,2017,1072,Male,23-26
Brazil,South Korea,Busan,2019,2910,Female,18-22
India,Finland,Turku,2018,1437,Male,18-22
Vietnam,Canada,Vancouver,2019,3203,Male,23-26
Bangladesh,Japan,Tokyo,2016,2744,Male,23-26
Nepal,UAE,Sharjah,2022,1059,Male,18-22
Brazil,UAE,Abu Dhabi,2021,734,Male,23-26
China,UK,Birmingham,2016,7366,Male,23-26
Nepal,Canada,Montreal,2015,4243,Female,23-26
India,UAE,Dubai,2019,1973,Male,18-22
Pakistan,Australia,Sydney,2015,3409,Male,18-22
Brazil,South Africa,Cape Town,2018,1527,Male,18-22
Vietnam,Italy,Florence,2021,2527,Male,27+
China,UK,Birmingham,2023,9580,Female,23-26
Turkey,Germany,Hamburg,2023,3072,Male,23-26
Brazil,Singapore,Singapore,2019,1882,Male,23-26
Pakistan,Japan,Kyoto,2020,2772,Female,27+
Kenya,Germany,Frankfurt,2024,3852,Male,18-22
Brazil,Spain,Valencia,2023,2568,Female,23-26
Turkey,India,Delhi,2020,1038,Male,23-26
Nepal,Norway,Bergen,2021,1627,Male,18-22
Bangladesh,South Africa,Johannesburg,2015,982,Female,23-26
Brazil,South Africa,Johannesburg,2016,1149,Male,23-26
Nepal,Germany,Berlin,2022,3394,Male,23-26
Nepal,Italy,Rome,2018,2539,Male,18-22
India,Japan,Kyoto,2020,7413,Female,27+
Nigeria,France,Lyon,2020,4634,Female,23-26
Nepal,Netherlands,Rotterdam,2021,2027,Male,23-26
Pakistan,UAE,Abu Dhabi,2017,812,Male,23-26
Nepal,UK,London,2021,6226,Male,18-22
Nigeria,Japan,Osaka,2015,3446,Female,23-26
Nigeria,Norway,Oslo,2017,1820,Female,18-22
Vietnam,Netherlands,Rotterdam,2021,1928,Female,23-26
Nepal,Singapore,Singapore,2024,2392,Female,18-22
Nigeria,Ireland,Cork,2016,1153,Non-binary,23-26
India,Italy,Rome,2016,5026,Female,23-26
China,Germany,Hamburg,2017,6011,Male,18-22
Pakistan,Netherlands,Amsterdam,2020,1722,Female,18-22
Pakistan,Ireland,Dublin,2017,751,Male,23-26
Vietnam,Sweden,Uppsala,2024,1583,Male,18-22
Pakistan,USA,Los Angeles,2015,5579,Male,23-26
Vietnam,Singapore,Singapore,2015,1933,Male,18-22
Nepal,France,Marseille,2020,3717,Male,23-26
India,Spain,Barcelona,2018,6978,Female,23-26
Nepal,South Korea,Daejeon,2015,2049,Male,18-22
Nepal,UK,Birmingham,2017,3084,Female,18-22
Turkey,Germany,Munich,2015,2730,Male,18-22
Vietnam,France,Marseille,2021,3981,Male,18-22
China,France,Marseille,2018,5808,Male,18-22
India,Germany,Frankfurt,2019,7236,Male,23-26
Bangladesh,Sweden,Gothenburg,2017,1226,Male,23-26
Vietnam,Finland,Helsinki,2020,610,Male,18-22
China,Ireland,Galway,2022,1746,Male,18-22
Brazil,India,Mumbai,2024,1742,Female,23-26
Kenya,Ireland,Cork,2024,1036,Male,23-26
Nepal,Italy,Rome,2018,2500,Female,18-22
Pakistan,UK,London,2023,4843,Female,18-22
Brazil,Russia,Moscow,2018,1246,Male,18-22
Nepal,Germany,Munich,2016,2660,Male,23-26
Nepal,France,Paris,2019,2992,Female,18-22
Nigeria,Italy,Rome,2020,2766,Female,18-22
Nigeria,Australia,Sydney,2024,6092,Female,18-22
Brazil,Spain,Valencia,2017,2128,Male,23-26
Nepal,Netherlands,Rotterdam,2019,1676,Male,23-26
Brazil,Russia,Moscow,2023,1564,Female,23-26
Nigeria,Singapore,Singapore,2022,3260,Male,18-22
Nepal,Sweden,Gothenburg,2023,1822,Male,18-22
Nepal,Singapore,Singapore,2024,2261,Male,18-22
China,Australia,Brisbane,2022,8793,Female,27+
Kenya,South Africa,Johannesburg,2016,1401,Female,18-22
Nigeria,Spain,Valencia,2017,3640,Male,23-26
Kenya,Finland,Tampere,2016,743,Female,18-22
Brazil,Canada,Vancouver,2021,4287,Male,18-22
Vietnam,Norway,Trondheim,2019,1355,Male,27+
Turkey,India,Bangalore,2017,1239,Male,18-22
Bangladesh,UK,Manchester,2017,3444,Non-binary,23-26
Nepal,Italy,Florence,2024,2647,Male,23-26
Pakistan,Norway,Oslo,2024,1370,Female,27+
Brazil,Japan,Osaka,2017,3087,Male,23-26
Vietnam,Finland,Turku,2024,692,Female,23-26
Vietnam,UK,Manchester,2022,4223,Female,18-22
Nigeria,Italy,Rome,2015,2120,Male,18-22
Nigeria,USA,Los Angeles,2024,12080,Male,18-22
Kenya,Sweden,Stockholm,2022,1928,Male,18-22
China,UK,London,2023,9200,Female,23-26
Nigeria,Ireland,Cork,2021,1338,Male,23-26
India,Norway,Trondheim,2020,3447,Female,23-26
Turkey,France,Lyon,2017,3464,Male,27+
Turkey,Germany,Frankfurt,2015,2915,Male,18-22
India,Canada,Montreal,2018,8303,Female,27+
Pakistan,Australia,Sydney,2015,2366,Female,23-26
India,Singapore,Singapore,2022,5083,Female,18-22
Bangladesh,India,Mumbai,2018,1376,Male,18-22
Nepal,Singapore,Singapore,2022,1983,Female,23-26
Pakistan,Italy,Milan,2023,2684,Female,18-22
Brazil,Canada,Montreal,2018,3056,Male,23-26
Nigeria,Finland,Turku,2019,621,Female,18-22
Bangladesh,Japan,Kyoto,2020,2405,Male,18-22
Kenya,Singapore,Singapore,2018,1823,Female,18-22
Pakistan,Japan,Tokyo,2016,2475,Female,18-22
Kenya,Norway,Oslo,2023,1579,Male,18-22
Pakistan,South Africa,Pretoria,2022,1251,Female,23-26
Bangladesh,Australia,Melbourne,2020,4775,Female,18-22
Nepal,Ireland,Dublin,2020,693,Male,18-22
Turkey,India,Mumbai,2023,998,Female,27+
Nigeria,Netherlands,Eindhoven,2022,2761,Male,18-22
Vietnam,Australia,Brisbane,2018,3847,Female,18-22
Kenya,Netherlands,Rotterdam,2016,1832,Female,23-26
Brazil,Norway,Oslo,2015,1194,Male,18-22
Nigeria,Singapore,Singapore,2023,3050,Female,18-22
Pakistan,France,Paris,2017,3134,Male,18-22
Bangladesh,India,Mumbai,2022,1145,Male,27+
Nepal,Italy,Milan,2015,1800,Female,23-26
Brazil,France,Marseille,2015,2717,Male,27+
China,Sweden,Uppsala,2021,3070,Male,18-22
Vietnam,South Korea,Seoul,2024,2747,Male,18-22
Kenya,Singapore,Singapore,2022,2813,Female,18-22
India,Ireland,Cork,2018,1940,Male,23-26
India,Japan,Osaka,2019,7133,Male,18-22
Turkey,Sweden,Uppsala,2020,1551,Female,23-26
Pakistan,Singapore,Singapore,2016,1933,Female,18-22
Bangladesh,Russia,Kazan,2024,2179,Male,23-26
India,Japan,Tokyo,2018,5350,Male,18-22
Kenya,Singapore,Singapore,2015,1950,Male,18-22
Turkey,Spain,Valencia,2024,3077,Male,18-22
Nepal,Japan,Tokyo,2023,2653,Female,23-26
Nepal,Singapore,Singapore,2016,1520,Male,18-22
Brazil,Spain,Valencia,2019,1783,Male,18-22
Turkey,India,Bangalore,2023,1516,Female,23-26
India,Finland,Turku,2017,1369,Female,18-22
China,Singapore,Singapore,2019,3682,Female,23-26
Brazil,South Africa,Cape Town,2019,1161,Female,18-22
Bangladesh,South Korea,Busan,2023,2873,Male,27+
China,Norway,Oslo,2024,3212,Male,18-22
India,France,Marseille,2023,9422,Female,23-26
Turkey,Canada,Toronto,2020,3805,Male,18-22
Nigeria,South Korea,Seoul,2018,3576,Male,18-22
Pakistan,Italy,Rome,2021,3104,Male,18-22
China,Italy,Florence,2018,4481,Male,27+
Vietnam,Japan,Kyoto,2022,2571,Male,23-26
Brazil,Ireland,Dublin,2017,749,Male,23-26
Bangladesh,Finland,Helsinki,2017,413,Female,23-26
Kenya,Italy,Rome,2023,2517,Male,23-26
Kenya,Australia,Brisbane,2015,2097,Male,18-22
Vietnam,Singapore,Singapore,2022,2566,Male,18-22
Bangladesh,Sweden,Stockholm,2016,1462,Male,23-26
China,Italy,Milan,2016,3235,Male,27+
Vietnam,Sweden,Uppsala,2023,1583,Female,23-26
Brazil,South Africa,Pretoria,2023,1688,Female,27+
Bangladesh,Sweden,Gothenburg,2015,1499,Female,23-26
Pakistan,Australia,Brisbane,2021,3657,Female,23-26
Vietnam,Japan,Tokyo,2023,3327,Male,18-22
Bangladesh,South Korea,Daejeon,2016,2298,Female,18-22
India,Spain,Madrid,2022,7982,Female,23-26
Nigeria,Canada,Montreal,2019,6492,Male,18-22
Nigeria,Italy,Milan,2023,3729,Female,18-22
Nigeria,Italy,Milan,2022,3681,Male,18-22
Brazil,UAE,Sharjah,2018,800,Female,18-22
Pakistan,Germany,Frankfurt,2019,3419,Non-binary,27+
China,Australia,Sydney,2024,7943,Female,18-22
India,UK,Manchester,2020,9828,Male,18-22
India,Singapore,Singapore,2020,4620,Female,18-22
India,Russia,St. Petersburg,2019,4339,Female,18-22
Brazil,Australia,Sydney,2022,4354,Male,23-26
Pakistan,Spain,Valencia,2022,3565,Female,18-22
Vietnam,Netherlands,Eindhoven,2017,1629,Male,27+
Bangladesh,Canada,Montreal,2017,3372,Male,18-22
Turkey,France,Paris,2021,3607,Female,23-26
China,Italy,Florence,2015,3105,Female,18-22
Brazil,Italy,Florence,2024,3130,Female,23-26
Vietnam,USA,Chicago,2017,5283,Male,18-22
China,USA,Los Angeles,2024,12378,Male,18-22
Vietnam,Ireland,Cork,2023,864,Male,18-22
Brazil,Italy,Milan,2018,1576,Male,23-26
China,Ireland,Cork,2024,1969,Male,18-22
Vietnam,South Africa,Cape Town,2015,653,Male,18-22
Nigeria,Australia,Brisbane,2022,5086,Female,18-22
Nigeria,Italy,Rome,2024,3987,Male,23-26
Kenya,Italy,Milan,2020,1572,Male,18-22
China,Russia,Kazan,2021,4256,Male,18-22
Kenya,Norway,Oslo,2020,1445,Male,18-22
Pakistan,Australia,Brisbane,2017,3396,Male,18-22
Turkey,Japan,Osaka,2017,2059,Male,18-22
Nigeria,Australia,Melbourne,2016,4944,Female,18-22
Nepal,South Korea,Seoul,2019,2389,Female,23-26
Pakistan,South Africa,Johannesburg,2018,940,Male,18-22
Brazil,Spain,Barcelona,2023,2932,Male,23-26
Nigeria,UAE,Abu Dhabi,2021,1374,Female,18-22
China,Canada,Vancouver,2018,7130,Male,18-22
Nigeria,Japan,Kyoto,2019,4045,Female,18-22
Nigeria,Australia,Sydney,2018,5278,Male,23-26
Nigeria,Canada,Vancouver,2020,5416,Male,23-26
Vietnam,Spain,Valencia,2017,2658,Female,23-26
India,UAE,Dubai,2016,2154,Male,18-22
Nepal,India,Bangalore,2016,1273,Male,23-26
China,France,Marseille,2020,5988,Female,18-22
Kenya,Finland,Helsinki,2017,730,Male,18-22
China,Netherlands,Amsterdam,2021,3613,Female,23-26
Kenya,Sweden,Gothenburg,2024,2076,Female,23-26
Nepal,Finland,Tampere,2023,732,Male,18-22
Turkey,UK,London,2024,6413,Female,18-22
India,USA,Chicago,2017,13302,Male,18-22
India,South Korea,Daejeon,2020,6468,Female,18-22
Nigeria,Finland,Turku,2015,682,Female,27+
Turkey,Russia,Kazan,2018,1585,Male,18-22
Kenya,Australia,Melbourne,2021,3543,Female,18-22
Bangladesh,South Africa,Johannesburg,2021,1427,Male,27+
Nigeria,UAE,Sharjah,2017,1237,Male,23-26
Kenya,South Korea,Seoul,2022,2540,Male,18-22
Brazil,Canada,Montreal,2016,3526,Male,23-26
Brazil,Australia,Sydney,2016,3061,Female,18-22
Brazil,Italy,Rome,2022,2345,Female,18-22
Bangladesh,Netherlands,Eindhoven,2020,2218,Male,23-26
Vietnam,Netherlands,Rotterdam,2021,1861,Female,27+
Kenya,Italy,Florence,2021,2195,Female,27+
Nigeria,Canada,Toronto,2017,5680,Male,23-26
Bangladesh,Ireland,Dublin,2020,790,Male,18-22
Nepal,USA,Chicago,2023,6000,Female,18-22
Nigeria,Netherlands,Amsterdam,2024,3492,Female,18-22
Nigeria,Ireland,Dublin,2019,1074,Female,18-22
Nigeria,Germany,Berlin,2020,3925,Female,23-26
Bangladesh,India,Mumbai,2017,1562,Male,18-22
Nepal,South Africa,Pretoria,2018,1708,Male,18-22
Nigeria,USA,New York,2020,10152,Female,18-22
Bangladesh,Australia,Brisbane,2019,5145,Female,27+
Brazil,UK,London,2024,5115,Male,18-22
Nigeria,India,Mumbai,2017,1371,Non-binary,27+
Pakistan,Germany,Hamburg,2023,3267,Male,18-22
India,South Africa,Johannesburg,2024,4330,Male,27+
Vietnam,UK,Manchester,2022,4267,Male,27+
Turkey,USA,New York,2019,7713,Female,23-26
Nepal,UAE,Dubai,2024,974,Female,18-22
Bangladesh,Netherlands,Amsterdam,2023,2381,Female,27+
Nepal,Ireland,Cork,2019,617,Female,18-22
Vietnam,Ireland,Galway,2015,910,Male,27+
Turkey,Sweden,Uppsala,2017,1289,Male,18-22
Nigeria,Spain,Madrid,2018,3659,Male,23-26
Bangladesh,India,Bangalore,2024,1477,Female,23-26
Turkey,Singapore,Singapore,2015,1973,Female,18-22
Pakistan,Japan,Tokyo,2021,2469,Male,23-26
India,Ireland,Dublin,2018,2021,Female,18-22
Nepal,Spain,Valencia,2017,2361,Female,23-26
Nepal,UAE,Sharjah,2020,996,Female,23-26
Nigeria,Sweden,Gothenburg,2018,1984,Male,18-22
Nepal,Australia,Sydney,2020,3627,Male,23-26
Bangladesh,Italy,Florence,2020,2405,Male,18-22
Vietnam,UAE,Sharjah,2023,1288,Female,18-22
Vietnam,Spain,Barcelona,2023,3224,Male,23-26
Vietnam,Singapore,Singapore,2018,2112,Female,18-22
Bangladesh,France,Lyon,2024,3814,Male,18-22
China,Sweden,Uppsala,2021,3332,Female,18-22
Bangladesh,France,Lyon,2018,3298,Female,23-26
Nepal,Finland,Turku,2015,485,Male,23-26
China,UAE,Dubai,2023,2146,Male,23-26
Nepal,Singapore,Singapore,2017,2259,Male,27+
Pakistan,Finland,Helsinki,2017,567,Female,23-26
Turkey,Russia,Kazan,2018,2013,Male,23-26
Turkey,Finland,Helsinki,2019,593,Male,27+
Nigeria,India,Bangalore,2019,1715,Non-binary,18-22
Bangladesh,UK,Manchester,2022,4703,Male,18-22
Pakistan,Sweden,Gothenburg,2023,1502,Female,18-22
Brazil,Norway,Trondheim,2024,1776,Male,23-26
Vietnam,Canada,Toronto,2021,3323,Male,18-22
Nigeria,Italy,Florence,2024,4146,Male,18-22
Turkey,France,Lyon,2020,2625,Female,23-26
Nigeria,USA,Chicago,2016,6027,Male,18-22
China,UAE,Dubai,2021,2088,Female,23-26
Vietnam,Sweden,Uppsala,2016,1366,Male,27+
China,Australia,Sydney,2023,8484,Female,23-26
Nigeria,Netherlands,Amsterdam,2020,2636,Female,27+
Brazil,South Korea,Busan,2022,2622,Female,27+
Vietnam,Russia,Kazan,2021,2452,Female,18-22
Bangladesh,France,Paris,2018,2548,Male,18-22
Pakistan,Netherlands,Eindhoven,2023,2383,Male,23-26
India,South Korea,Busan,2017,5136,Female,18-22
India,Japan,Osaka,2018,5983,Female,18-22
Nigeria,Sweden,Stockholm,2015,1854,Female,18-22
Bangladesh,Australia,Sydney,2015,2872,Female,18-22
Nigeria,Finland,Turku,2018,878,Male,23-26
Nepal,Russia,St. Petersburg,2016,1728,Female,18-22
Turkey,Japan,Osaka,2017,2982,Female,23-26
Turkey,Singapore,Singapore,2024,2369,Female,23-26
China,Singapore,Singapore,2016,2531,Female,23-26
India,Italy,Milan,2023,5939,Male,23-26
Bangladesh,Netherlands,Eindhoven,2023,2051,Female,18-22
India,South Korea,Busan,2015,4679,Male,27+
Brazil,Germany,Hamburg,2018,3388,Female,23-26
Nepal,South Korea,Daejeon,2018,2809,Male,18-22
India,Spain,Madrid,2016,5296,Female,23-26
China,UAE,Dubai,2019,1522,Male,23-26
Pakistan,Japan,Kyoto,2017,2417,Male,23-26
Brazil,UK,Birmingham,2017,3857,Female,27+
Vietnam,Spain,Valencia,2022,2790,Female,18-22
Turkey,Australia,Sydney,2017,3792,Male,18-22
China,South Africa,Pretoria,2016,2486,Non-binary,23-26
Turkey,South Africa,Pretoria,2023,1330,Female,18-22
Nigeria,Japan,Osaka,2017,2929,Female,23-26
Kenya,Russia,Moscow,2022,1879,Female,18-22
Turkey,Sweden,Gothenburg,2020,1720,Female,18-22
China,Netherlands,Eindhoven,2017,3492,Female,18-22
Vietnam,Germany,Berlin,2018,2861,Female,18-22
Nigeria,UK,Birmingham,2021,6162,Male,18-22
Turkey,Norway,Oslo,2015,1188,Male,18-22
Nepal,South Korea,Daejeon,2021,2451,Female,18-22
Kenya,Sweden,Stockholm,2024,1816,Male,23-26
Bangladesh,Italy,Milan,2017,2245,Female,23-26
Kenya,Russia,Kazan,2022,1968,Male,23-26
Nigeria,Sweden,Gothenburg,2015,1609,Male,23-26
Bangladesh,Germany,Frankfurt,2019,2958,Male,23-26
Pakistan,Germany,Berlin,2020,3536,Female,23-26
Bangladesh,Finland,Turku,2022,709,Female,18-22
China,Canada,Vancouver,2023,8347,Female,18-22
Nigeria,Canada,Vancouver,2021,5482,Male,18-22
Kenya,Canada,Toronto,2024,4866,Female,18-22
India,UAE,Dubai,2015,2227,Male,23-26
Nepal,Singapore,Singapore,2017,2213,Male,23-26
India,Canada,Toronto,2019,9494,Non-binary,18-22
India,South Africa,Johannesburg,2023,4269,Male,27+
India,South Africa,Pretoria,2020,3866,Male,18-22
Pakistan,Singapore,Singapore,2017,1362,Male,27+
Brazil,Australia,Brisbane,2017,3725,Female,23-26
Brazil,Sweden,Gothenburg,2017,1680,Male,18-22
Nigeria,South Africa,Cape Town,2020,2586,Female,18-22
Turkey,Japan,Osaka,2016,2981,Female,18-22
Brazil,South Africa,Cape Town,2017,1656,Female,18-22
China,France,Lyon,2016,5555,Female,18-22
Vietnam,South Africa,Cape Town,2016,1297,Female,27+
Turkey,South Africa,Cape Town,2015,1114,Female,18-22
